FeedbackID,GuestID,HotelID,ReviewComments,ReviewType,ReviewScore,RecommendationLikelihood,RoomComfortScore,ServiceQualityScore,CleanlinessScore
199,1239,21,"Poor service at the restaurant, with long waits for food.",Negative,4,3,4,4,4
200,2384,21,"The staff were unresponsive, and the room was not as advertised.",Negative,3,2,3,3,4
201,2720,21,"Exceptional service and luxurious rooms, perfect for a business stay.",Positive,10,10,10,10,10
202,1455,21,"The location is excellent, with breathtaking views and top-notch amenities.",Positive,9,9,9,9,9
203,146,21,"Outstanding staff, the room was immaculate, and the breakfast was delicious.",Positive,10,10,10,10,10
204,99,21,"Beautiful hotel with modern facilities, thoroughly enjoyed my stay.",Positive,9,9,9,9,9
205,1964,21,"Spacious and comfortable rooms, excellent for both business and leisure.",Positive,9,9,9,9,9
206,1008,21,"The staff were incredibly professional, and the amenities were first-class.",Positive,10,10,10,10,10
207,759,21,"The room was luxurious and very clean, with great attention to detail.",Positive,9,9,9,9,9
208,1558,21,"Amazing service, wonderful experience, highly recommended.",Positive,10,10,10,10,10
209,515,21,"Great hotel with fantastic facilities, the breakfast was especially good.",Positive,9,9,9,9,9
210,3512,21,"The room was very comfortable, but the wi-fi could be faster.",Neutral,7,6,7,7,8
211,1023,21,"The hotel is luxurious, but the location is a bit far from the main attractions.",Neutral,7,6,7,7,8
212,395,21,"Excellent facilities, but the room service was a bit slow.",Neutral,7,7,7,7,8
213,1437,21,"Beautiful hotel, but the breakfast could use more variety.",Neutral,6,6,7,7,8
214,2048,21,"Great service, but the room decor was slightly outdated.",Neutral,6,5,7,7,7
215,237,21,"The room was nice, but there was some noise from outside.",Neutral,6,5,6,7,7
216,3556,21,"Overpriced for what was offered, expected better service at this price point.",Negative,4,3,4,4,5
217,601,22,"The hotel had a fantastic view, and the amenities were top-notch.",Positive,10,10,9,10,9
218,2500,22,"Spacious and modern rooms, excellent service from the staff.",Positive,9,9,9,9,9
219,1344,22,"The room was very clean and well-maintained, very comfortable stay.",Positive,9,9,9,9,9
220,1775,22,"Excellent facilities, highly recommend for both business and leisure travelers.",Positive,10,10,9,10,9
221,2144,22,The hotel staff were incredibly professional and helpful.,Positive,9,9,9,9,9
222,3389,22,"Poor service at the restaurant, long waits for food.",Positive,9,9,9,9,9
223,1337,22,"The staff were unresponsive, and the room was not as advertised.",Positive,9,9,9,9,9
224,69,22,"The breakfast was basic and lacked variety, not worth the price.",Positive,9,9,9,9,9
225,1021,22,"Beautiful hotel but poor value for money, expected better service.",Positive,9,9,9,9,9
226,1512,22,"Excellent service and very comfortable rooms, ideal for business trips.",Positive,9,9,9,9,9
227,3338,22,"Spacious and luxurious rooms, very relaxing atmosphere.",Positive,8,8,8,9,9
228,330,22,"Great location with fantastic facilities, highly recommended.",Positive,9,9,9,9,9
229,845,22,"The staff were very friendly and accommodating, made my stay enjoyable.",Positive,9,9,9,9,9
230,3591,22,The room had a musty smell that didnt go away during my stay,Positive,9,9,9,9,9
231,567,22,"The walls were thin, and i could hear noise from the neighboring rooms, which affected my sleep",Positive,8,8,8,9,9
232,3118,22,"The room was smaller than expected, and the bathroom felt cramped",Positive,9,9,9,9,9
233,1878,22,"The cleanliness of the room was disappointing, with dust on the surfaces and a dirty carpet",Neutral,7,6,7,7,8
234,1690,22,"The hotel's central location made it easy to explore the city, and the views from the room were fantastic",Neutral,7,7,7,7,7
235,1100,24,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Neutral,6,6,7,7,8
236,1958,24,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Neutral,7,7,7,7,8
237,1259,24,"The bed was incredibly comfortable, ensuring a great nights sleep",Neutral,6,6,7,7,7
238,2909,24,"Breakfast was excellent, with a wide variety of options to suit all tastes",Neutral,6,5,6,6,7
239,871,24,The hotels modern decor and ambiance added to the overall experience,Neutral,6,6,7,6,7
240,665,24,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Neutral,7,6,7,7,7
241,1864,24,"The location is convenient, but the noise from the street was noticeable at night",Neutral,6,5,6,6,7
242,2440,24,"The room was clean, but the furniture felt a bit outdated",Neutral,7,6,7,7,7
243,2892,24,"Breakfast was decent, though the options were somewhat limited",Positive,9,9,9,9,9
244,852,24,"The wi-fi connection was stable, but the speed could have been better",Positive,10,10,10,10,10
245,681,24,"The bed was comfortable, but the pillows were a bit too firm for my taste",Positive,9,9,9,9,9
246,2359,24,"The staff were polite, but there were some delays during check-in",Positive,10,10,10,10,10
247,883,24,"The room had all the basic amenities, but nothing stood out as exceptional",Positive,10,9,9,10,9
248,2410,24,"The hotel was fine for a short stay, but i wouldnt recommend it for a longer visit",Positive,10,9,9,10,9
249,2335,24,"The air conditioning worked well, but it was a bit noisy",Negative,3,2,3,3,4
250,2611,24,"The check-in process was smooth, but i had to wait a bit for my room to be ready",Negative,4,3,4,4,4
251,165,24,"Parking was a bit of a challenge, with limited spaces available",Positive,9,9,9,9,9
252,2499,24,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,9,8,9,9,9
253,1090,25,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,10,9,9,10,9
254,74,25,"The hotels central location made it easy to explore the city, and the views from the room were fantastic",Positive,9,9,9,9,9
255,2871,25,"The walls were thin, and i could hear noise from the neighboring rooms, which affected my sleep",Positive,8,8,8,9,9
256,1759,25,"The room was smaller than expected, and the bathroom felt cramped",Positive,9,9,9,9,9
257,889,25,"The cleanliness of the room was disappointing, with dust on the surfaces and a dirty carpet",Neutral,7,6,7,7,8
258,3425,25,The breakfast area was small and got crowded quickly in the morning,Neutral,7,7,7,7,7
259,2427,25,"Parking was a bit of a challenge, with limited spaces available",Neutral,6,6,7,7,8
260,3577,25,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Neutral,7,7,7,7,8
261,1814,25,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Neutral,6,6,7,7,7
262,1101,25,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Neutral,6,5,6,6,7
263,1741,25,"The bed was incredibly comfortable, ensuring a great nights sleep",Neutral,6,6,7,6,7
264,2277,25,"Breakfast was excellent, with a wide variety of options to suit all tastes",Neutral,7,6,7,7,7
265,60,25,"The location is convenient, but the surrounding area can be a bit noisy",Neutral,6,5,6,6,7
266,3289,25,"The room was comfortable enough, but the decor felt a bit dated",Neutral,7,6,7,7,7
267,2538,25,"The breakfast was adequate, but nothing particularly special",Positive,9,9,9,9,9
268,2981,25,"The gym was small, but it had all the essential equipment",Positive,9,9,9,9,9
269,1441,25,"The room was clean, but the furniture was outdated and could use some refurbishment",Positive,10,10,10,10,10
270,2980,25,The hotels historic charm added to the overall experience,Positive,9,9,9,9,9
271,353,26,"The check-in process was smooth, but i had to wait a bit for my room to be ready",Positive,10,9,9,10,9
272,1862,26,"The room had all the basic amenities, but nothing stood out as exceptional",Positive,10,9,9,10,9
273,102,26,"The air conditioning worked well, but it was a bit noisy",Positive,10,9,9,10,9
274,572,26,"The staff were polite, but there were some delays during check-in",Negative,4,3,4,4,4
275,413,26,"Parking was a bit of a challenge, with limited spaces available",Negative,4,3,4,4,4
276,1709,26,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,9,9,9,9,9
277,2828,26,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,10,10,9,10,10
278,925,26,"The hotels central location made it easy to explore the city, and the views from the room were fantastic",Positive,9,9,9,9,9
279,690,26,"The walls were thin, and i could hear noise from the neighboring rooms, which affected my sleep",Positive,9,9,9,9,9
280,25,26,"The room was smaller than expected, and the bathroom felt cramped",Positive,8,8,8,9,9
281,868,26,"The cleanliness of the room was disappointing, with dust on the surfaces and a dirty carpet",Positive,9,9,9,9,9
282,3266,26,The breakfast area was small and got crowded quickly in the morning,Positive,10,10,9,10,9
283,2174,26,"Parking was a bit of a challenge, with limited spaces available",Positive,9,9,9,9,9
284,558,26,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,8,8,8,9,9
285,3316,26,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Neutral,7,6,7,7,8
286,1042,26,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Neutral,7,7,7,7,7
287,3547,26,"The bed was incredibly comfortable, ensuring a great nights sleep",Neutral,6,6,7,7,8
288,1434,26,"Breakfast was excellent, with a wide variety of options to suit all tastes",Neutral,7,7,7,7,8
289,1208,27,"The rooftop terrace was a highlight, offering stunning views of the city",Neutral,6,6,7,7,7
290,1551,27,The hotels modern decor and ambiance added to the overall experience,Neutral,6,5,6,6,7
291,2555,27,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Neutral,6,6,7,6,7
292,2088,27,"The location is convenient, but the noise from the street was noticeable at night",Neutral,7,6,7,7,7
293,190,27,"The room was clean, but the furniture felt a bit outdated",Neutral,7,6,7,7,8
294,1188,27,"Breakfast was decent, though the options were somewhat limited",Positive,9,8,9,9,9
295,1043,27,"The wi-fi connection was stable, but the speed could have been better",Positive,10,9,9,10,9
296,2931,27,"The bed was comfortable, but the pillows were a bit too firm for my taste",Positive,9,9,9,9,9
297,1554,27,"The staff were polite, but there were some delays during check-in",Positive,8,8,8,9,9
298,272,27,"The room had all the basic amenities, but nothing stood out as exceptional",Negative,4,3,4,4,5
299,3200,27,"The hotel was fine for a short stay, but i wouldnt recommend it for a longer visit",Negative,4,3,4,4,5
300,708,27,"The air conditioning worked well, but it was a bit noisy",Negative,4,3,4,4,4
