HotelID,HotelName,HotelStarRating,HotelAddress,HotelPhone,HotelEmail,HotelWebsite,Reviews_count,NumberOfRooms,AverageRoomRateUSD,LastRenovationDate,DistanceToAirport,RatingAverage,BookingURL,distance_to_center,breakfast,cancellation_policy,prepayment_policy,Free Wi-Fi,Spa,Fitness Center,Restaurant,Bar,Conference Facilities,Non-Smoking Rooms,Sauna,Business Center,Outdoor Pool,Gym,Indoor swimming pool
44,Parallel Hotel ,4,"19 Uzeyir Hajibeyov Street, Baku, Azerbaijan",+994 12 595 10 10,info@parallelhotelbaku.com,www.parallelhotelbaku.com,800,30,60,2020,20,8.2,https://www.booking.com/parallelhotelbaku,1.8,Included,Free cancellation,No prepayment needed,1,0,0,1,1,0,1,0,0,0,0,0
45,Sahil Inn Hotel,4,"15 Alovsat Guliyev Street, Baku, Azerbaijan",+994 12 498 88 00,info@sahilinnbaku.com,www.sahilinnbaku.com,1327,25,85,2017,15,7.8,https://www.booking.com/sahilinnbaku,2.4,Included,Free cancellation,No prepayment needed,1,0,0,1,1,0,1,0,0,0,0,0
46,Austin Hotel ,4,"63B Zahid Khalilov Street, Baku, Azerbaijan",+994 70 598 08 12,reservation@austin.az,www.austin.az,96,32,65,2020,20,8.0,https://www.booking.com/austin-hotel-baku,1.6,Included,Free cancellation,No prepayment needed,1,1,1,1,0,0,1,0,0,0,0,0
47,Central Park Hotel ,4,"4A Neftchilar Avenue, Baku, Azerbaijan",+994 12 498 99 99,info@centralparkbaku.com,www.centralparkbaku.com,226,70,75,2019,25,8.5,https://www.booking.com/centralparkhotelbaku,1.4,Not included,Free cancellation,No prepayment needed,1,0,1,1,1,0,1,1,0,0,0,0
48,Lake Palace Hotel ,5,"34 Mirza Mansur Street, Baku, Azerbaijan",+994 12 439 31 31,info@lakepalacehotelbaku.com,www.lakepalacehotel.com,88,36,85,2018,30,8.7,https://www.booking.com/lakepalacehotelbaku,2.2,Included,Free cancellation,No prepayment needed,1,1,1,1,0,1,1,0,0,0,0,0
49,Sea Port Hotel ,3,"4A Neftchilar Avenue, Baku, Azerbaijan",+994 12 480 14 14,info@seaporthotelbaku.com,www.seaporthotelbaku.com,78,30,55,2017,24,8.0,https://www.booking.com/seaporthotelbaku,1.0,Not included,No free cancellation,Prepayment needed,1,0,0,1,1,0,1,0,0,0,0,0
50,Giz Galasi Hotel,3,"34 Mirza Mansur Street, Baku, Azerbaijan",+994 12-497-1785,info@gizgalasihotelbaku.com,www.gizgalasihotelbaku.com,111,10,50,2017,19,7.5,	https://www.booking.com/gizgalasihotelbaku,0.8,Included,Free cancellation,No prepayment needed,1,1,1,1,0,0,0,1,1,0,0,0
51,Dafne Hotel ,4,"11 Ahmed Javad Street, Baku, Azerbaijan",+994 12 493 12 12,info@dafnehotelbaku.com,www.dafnehotelbaku.com,64,40,70,2019,21,8.2,https://www.booking.com/dafnehotelbaku,2.1,Not included,No free cancellation,Prepayment needed,1,1,1,1,0,0,1,0,0,0,0,0
52,Venera Hotel ,3,"5 Hasan Seyidbeyli Street, Baku, Azerbaijan",+994 12 492 49 49,info@venerahotelbaku.com,www.venerahotelbaku.com,93,25,45,2018,19,7.9,https://www.booking.com/venerahotelbaku,1.9,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
53,Moon Light Hotel ,4,"24 Asaf Zeynally Street, Baku, Azerbaijan",+994 12 491 60 60,info@moonlighthotelbaku.com,www.moonlighthotelbaku.com,52,20,60,2020,23,8.3,https://www.booking.com/moonlighthotelbaku,2.5,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
54,Sapphire Inn Hotel,4,"5 Hasan Abdullayev Street, Sabayil District, Baku, Azerbaijan",+994 12 505 1105,info@sapphireinn.az,www.sapphireinn.az,491,56,95,2013,21,4.1,https://www.trip.com/hotels/baku-hotel-detail-17412685/sapphire-inn-hotel/,1.3,Included,Free cancellation,No prepayment needed,1,0,0,1,1,0,0,0,0,0,0,0
55,Alp Inn Hotel ,4,"82 Azadlig Avenue, Baku, Azerbaijan",+994 12 435 35 35,info@alpinnbaku.com,www.alpinnbaku.com,182,50,75,2019,18,8.6,https://www.booking.com/alpinnhotelbaku,2.0,Included,No free cancellation,Prepayment needed,1,0,1,1,0,0,1,0,0,0,0,0
56,Wyndham Hotel ,5,"12 Alasgar Gayibov Street, Baku, Azerbaijan",+994 12 567 00 77,info@wyndhambaku.com,www.wyndhambaku.com,457,123,120,2017,20,8.0,https://www.booking.com/wyndham-baku,0.2,Not included,No free cancellation,Prepayment needed,1,1,1,0,0,1,1,0,0,0,0,0
57,Sky Hotel ,4,"26 Mammad Araz Street, Baku, Azerbaijan",+994 12 511 44 55,info@skyhotelbaku.com,www.skyhotelbaku.com,134,50,90,2019,22,8.2,https://www.booking.com/skyhotelbaku,2.3,Included,Free cancellation,No prepayment needed,1,0,1,1,0,0,1,0,0,0,0,0
58,Diamond Hotel ,4,"27 Teymur Elchin Street, Baku, Azerbaijan",+994 12 432 35 35,info@diamondhotelbaku.com,www.diamondhotelbaku.com,178,60,85,2020,23,8.3,https://www.booking.com/diamondhotelbaku,3.7,Not included,No free cancellation,Prepayment needed,1,1,1,1,0,0,1,0,0,0,0,0
59,Ammar Grand Hotel ,4,"15 Nobel Avenue, Baku, Azerbaijan",+994 12 499 88 22,info@ammargrandhotel.com,www.ammargrandhotel.com,141,110,100,2018,19,8.6,https://www.booking.com/ammargrandhotel,3.4,Included,Free cancellation,No prepayment needed,1,1,1,1,0,1,1,0,0,0,0,0
60,Auroom Hotel ,4,"18 Mammad Araz Street, Baku, Azerbaijan",+994 12 465 78 90,info@auroomhotelbaku.com,www.auroomhotelbaku.com,212,45,95,2019,20,8.4,https://www.booking.com/auroomhotelbaku,2.5,Included,Free cancellation,No prepayment needed,1,1,1,1,0,0,1,0,0,0,0,0
61,Alba Hotel & Spa,5,"10 Azadlig Avenue, Baku, Azerbaijan",+994 12 478 47 47,info@albahotelspa.com,www.albahotelspa.com,1555,75,85,2021,18,8.8,https://www.booking.com/albahotelspa,4.8,Included,No free cancellation,Prepayment needed,1,1,1,0,0,0,1,0,0,0,0,0
62,Harmony Hotel ,4,"16 Zarifa Aliyeva Street, Baku, Azerbaijan",+994 12 434 22 22,info@harmonyhotelbaku.com,www.harmonyhotelbaku.com,145,55,120,2020,21,8.5,https://www.booking.com/harmonyhotelbaku,3.4,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
63,Ganjali Plaza Hotel,4,"14 Fuzuli Street, Baku, Azerbaijan",+994 12 492 32 32,info@ganjaliplazahotel.com,www.ganjaliplazahotel.com,198,70,60,2017,24,8.1,https://www.booking.com/ganjaliplazahotel,1.7,Included,Free cancellation,No prepayment needed,1,0,1,1,0,1,1,0,0,0,0,0
64,Grand Midway Hotel ,4,"8 Nizami Street, Baku, Azerbaijan",+994 12 493 66 66,info@grandmidwayhotelbaku.com,www.grandmidwayhotelbaku.com,110,40,65,2018,20,8.3,https://www.booking.com/grandmidwayhotelbaku,0.4,Included,Free cancellation,No prepayment needed,1,1,0,1,0,0,1,0,0,0,0,0
65,Ivy Garden Hotel ,5,"5 Mikayil Huseynov Street, Baku, Azerbaijan",+994 12 490 22 22,info@ivygardenhotel.com,www.ivygardenhotel.com,94,90,150,2022,17,9.0,https://www.booking.com/ivygardenhotel,1.9,Included,No free cancellation,Prepayment needed,1,1,1,1,0,0,1,0,0,0,0,0
66,Maestro Hotel,4,"30 Rastrapovich Street, Baku, Azerbaijan",+994 55 918 00 12,info@maestrohotel.az,www.maestrohotel.az,158,28,60,2020,25,8.2,https://www.booking.com/maestrohotelbaku,1.2,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
67,City Walls Hotel,3,"Kichik Gala Pereulok 8, Baku, Azerbaijan",+994 12 499 88 22,info@citywallshotel.az,www.citywallshotelbaku.com,142,9,39,2019,27,7.2,https://www.booking.com/citywallshotelbaku,0.4,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
68,Point Hotel ,5,"20 Murtuza Mukhtarov Street, Baku, Azerbaijan",+994 12 491 50 50,info@pointhotelbaku.com,www.pointhotelbaku.com,132,90,140,2021,22,8.9,https://www.booking.com/pointhotelbaku,2.6,Not included,No free cancellation,Prepayment needed,1,1,1,1,0,1,1,0,0,0,0,0
69,Liman Hotel ,4,"12 Nariman Narimanov Avenue, Baku, Azerbaijan",+994 12 455 66 66,info@limanhotelbaku.com,www.limanhotelbaku.com,102,50,55,2020,21,8.4,https://www.booking.com/limanhotelbaku,0.9,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
70,Dondar Hotel ,4,"5 Ziya Bunyadov Street, Baku, Azerbaijan",+994 12 451 22 33,info@dondarhotelbaku.com,www.dondarhotelbaku.com,75,35,65,2018,23,7.8,https://www.booking.com/dondarhotelbaku,3.2,Not included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
71,Royal Antique Boutique Hotel,4,"10 Istiglaliyyat Street, Baku, Azerbaijan",+994 12 478 44 44,info@royalantiquebaku.com,www.royalantiquebaku.com,167,30,75,2021,20,8.5,https://www.booking.com/royalantiquebaku,1.0,Included,No free cancellation,Prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
72,Renaissance Palace ,4,"14 Neftchilar Avenue, Baku, Azerbaijan",+994 12 492 20 20,info@renaissancepalacebaku.com,www.renaissancepalacebaku.com,208,80,95,2017,18,8.8,https://www.booking.com/renaissancepalacebaku,2.5,Included,Free cancellation,No prepayment needed,1,1,1,1,0,1,1,0,0,0,0,0
73,Shah Palace Hotel ,4,"19 Mirza Mansur Street, Baku, Azerbaijan",+994 12 497 78 78,info@shahpalacehotelbaku.com,www.shahpalacehotelbaku.com,234,100,85,2021,17,9.0,https://www.booking.com/shahpalacehotelbaku,1.1,Included,No free cancellation,Prepayment needed,1,1,1,1,0,1,1,0,0,0,0,0
74,Nizami Street Hotel,3,"221 Nizami Street, Baku, Azerbaijan",+994 12 493 1010,info@nizamistreethotel.az,www.planetofhotels.com/en/azerbaijan/baku/nizami-street-hotel,147,20,55,2017,21,8.0,https://www.planetofhotels.com/en/azerbaijan/baku/nizami-street-hotel,0.6,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,0,0,0,0,0,0
75,Premier Hotel ,4,"28 Shamsi Rahimov Street, Baku, Azerbaijan",+994 12 441 09 06,info@premierhotelbaku.com,www.premierhotelbaku.com,777,20,60,2019,25,8.1,https://www.booking.com/premierhotelbaku,1.1,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,1,0,0,0,0
76,All Seasons Hotel ,3,"29A Tbilisi Avenue, Baku, Azerbaijan",+994 12 565 45 65,info@allseasonshotelbaku.com,www.allseasonshotelbaku.com,174,50,70,2020,20,8.3,https://www.booking.com/allseasonshotelbaku,2.2,Not included,Free cancellation,Prepayment needed,1,0,1,1,0,0,1,0,0,0,0,0
77,Atropat Hotel ,4,"11 Boyuk Gala Street, Baku, Azerbaijan",+994 12 492 34 34,info@atropathotelbaku.com,www.atropathotelbaku.com,138,30,85,2018,21,8.7,https://www.booking.com/atropathotelbaku,1.0,Included,Free cancellation,No prepayment needed,1,1,0,1,0,1,1,0,0,0,0,0
78,East Legend Panorama Hotel ,4,"13 Niyazi Street, Baku, Azerbaijan",+994 12 441 05 05,info@eastlegendbaku.com,www.eastlegendbaku.com,127,40,85,2021,22,8.4,https://www.booking.com/eastlegendbaku,3.0,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
79,Golden Time Hotel ,4,"22 Ahmad Rajabli Street, Baku, Azerbaijan",+994 12 433 22 22,info@goldentimebaku.com,www.goldentimebaku.com,156,60,75,2019,18,8.5,https://www.booking.com/goldentimebaku,2.5,Included,No free cancellation,Prepayment needed,1,0,1,1,0,0,1,0,0,0,0,0
80,Homebridge Hotel Apartments ,4,"16 Hesen Aliyev Street, Baku, Azerbaijan",+994 12 499 99 99,info@homebridgebaku.com,www.homebridgebaku.com,198,45,60,2020,19,8.9,https://www.booking.com/homebridgebaku,1.6,Included,Free cancellation,No prepayment needed,1,0,1,0,0,0,1,0,0,0,0,0
81,Naftalan Guest House,2,"25 Neftchilar Avenue, Baku, Azerbaijan",+994 12 565 56 56,info@naftalanbaku.com,www.naftalanbaku.com,111,70,40,2022,17,9.0,https://www.booking.com/naftalanbaku,2.4,Included,Free cancellation,No prepayment needed,1,1,0,1,0,1,1,0,0,0,0,0
82,Tourist Hotel ,3,"18 Ziya Bunyadov Street, Baku, Azerbaijan",+994 12 441 22 22,info@touristhotelbaku.com,www.touristhotelbaku.com,82,35,55,2019,22,8.1,https://www.booking.com/touristhotelbaku,0.7,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
83,Days Hotel ,4,"18 Baba Aliyev Street, Baku, Azerbaijan",+994 12 480 12 12,info@dayshotelbaku.com,www.dayshotelbaku.com,199,60,80,2020,21,8.3,https://www.booking.com/dayshotelbaku,1.3,Not included,No free cancellation,Prepayment needed,1,0,1,1,0,1,1,0,0,0,0,0
